star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0083-01181-1,71.17565167,0.56817389,7.169,2000.0,-44.700,-30.100
TYC 0084-01782-1,72.68910833,1.14781917,6.663,2000.0,3.600,-21.600
TYC 0085-01238-1,74.57114417,0.45398833,7.295,2000.0,-156.600,-34.600
TYC 0085-01667-1,74.00427472,1.62508417,6.897,2000.0,3.300,37.700
TYC 0085-01752-1,73.48251361,1.56938861,6.609,2000.0,3.900,-8.400
TYC 0085-02362-1,74.63709194,1.71403361,4.620,2000.0,-1.900,-7.800
TYC 0085-02363-1,73.71128528,0.46717750,5.948,2000.0,0.900,-5.600
TYC 0087-01424-1,70.55712306,2.99004944,7.283,2000.0,16.900,-17.300
TYC 0088-01203-1,72.16429861,3.64927861,7.291,2000.0,12.400,1.000
TYC 0088-01301-1,72.23442778,3.68973389,7.001,2000.0,-17.200,-10.200
TYC 0088-01394-1,72.18594028,3.58856389,6.163,2000.0,-1.500,-16.000
TYC 0088-01790-1,72.11521417,2.71513806,6.611,2000.0,3.100,82.600
TYC 0089-00713-1,74.05892889,3.17581083,7.346,2000.0,-4.900,-2.900
TYC 0089-00852-1,74.24707861,3.28604139,7.328,2000.0,-4.500,9.200
TYC 0089-02557-1,73.34481556,2.50826306,5.520,2000.0,29.200,-16.200
TYC 0089-02558-1,73.56289806,2.44067139,3.657,2000.0,,
TYC 0090-00033-1,68.01977389,5.41001917,6.411,2000.0,113.200,5.400
TYC 0090-00642-1,68.53448250,5.56863389,5.685,2000.0,-14.300,-6.700
TYC 0092-02345-1,72.80152361,5.60510167,3.638,2000.0,-3.100,0.700
TYC 0093-00218-1,73.98252944,4.67086472,7.073,2000.0,136.000,-185.300
TYC 0093-00682-1,73.99317167,5.39905722,6.489,2000.0,-20.000,-13.700
TYC 0094-00172-1,67.96016278,5.76449694,6.670,2000.0,15.500,-20.900
TYC 0094-01120-1,67.76715778,6.79153667,7.232,2000.0,-69.000,-93.200
TYC 0095-00098-1,69.47639444,7.31763222,6.977,2000.0,3.600,-0.500
TYC 0096-00210-1,71.82464917,5.78826444,6.771,2000.0,14.200,-17.200
TYC 0096-00689-1,72.57209278,6.94990250,7.244,2000.0,-3.100,7.000
TYC 0096-01462-1,72.45896806,6.96124889,3.222,2000.0,462.900,11.800
TYC 0098-00619-1,76.34880722,1.17763417,6.293,2000.0,7.500,-1.400
TYC 0098-02441-1,75.50011028,1.60884167,6.495,2000.0,-2.500,7.200
TYC 0098-02442-1,75.45979111,0.72216722,6.053,2000.0,4.800,-21.500
TYC 0099-00503-1,77.92227361,0.51456944,6.656,2000.0,4.800,-0.400
