detection_id,x_px,y_px,flux_above_background,peak_above_background,peak_snr,area_px,major_sigma_px,axis_ratio,saturated,source_class,measurement_half_window_px,fitted_ra_deg,fitted_dec_deg,catalogue_star_id,classification
262,1283.7407290679696,1165.85047071482,1028.529168502381,126.9599072660375,24.975334325884457,15,1.1344446309476135,1.4730282367239556,True,compact,4,232.78524322137514,40.814547984662305,TYC 3055-02341-1,unclassified_object
263,260.8365414596865,1017.2508287078552,1027.2947068884725,173.34970740172565,25.77069721014779,9,0.8064691209663728,1.1666503103694263,True,compact,4,322.2037965317401,-21.775746849179594,TYC 6373-01203-1,unclassified_object
264,936.9060503121119,1152.3045896311678,1025.5911682745561,197.0703635830381,21.855241022700714,9,0.7769957003697656,1.1241606369160104,True,compact,4,281.18756373568016,37.58677527676948,TYC 3118-02081-1,unclassified_object
265,993.4546885625666,588.6321607951288,1025.1272371693742,196.70474991385677,23.145812009675193,10,0.771775743836702,1.2366341477850438,True,compact,4,28.603112700677833,63.66268671955434,TYC 4036-02834-1,unclassified_object
267,1115.8094841088198,811.6768465843359,1023.7291651935836,211.37283317065985,36.061879689426206,8,0.7206163090226336,1.1217085233450763,True,compact,4,302.1606585105924,77.73291247024936,TYC 4589-03106-1,unclassified_object
268,925.152322444006,817.6029483766421,1019.7774835184157,194.07284979117696,18.7181083508073,10,0.9061882515423019,1.3344328386881417,True,compact,4,332.79308626364025,58.13975859663905,TYC 3981-01590-1,unclassified_object
269,435.73832965250875,755.8078845157187,1016.0079711022114,206.6289506847738,34.765447067205585,8,0.684399808358852,1.0319344053294268,True,compact,4,349.30222010511415,3.260628303049499,TYC 0580-01884-1,unclassified_object
270,1080.3013800023357,873.2908860593609,1015.5306277165915,211.40297013305167,27.923091380936565,9,0.7448862748525178,1.1686432626620595,True,compact,4,296.97842338496184,70.28326589169386,TYC 4449-02651-1,unclassified_object
271,710.2166910920599,316.5231871830954,1013.0152662385376,183.954321008228,32.75929451361599,12,1.2375912282154224,2.0016203849115266,True,compact,4,44.79673044415809,21.377446469083097,TYC 1230-01424-1,unclassified_object
272,370.3003944450464,388.45424450991015,1012.1960680676282,193.77185959937412,34.338665283387684,9,0.7203853509896316,1.1283582461947421,True,compact,4,27.380519154466327,-10.675023453430791,TYC 5278-02438-1,unclassified_object
273,1041.8891610986418,801.46559748414,1011.2652513775116,212.94979598592525,24.155377982820244,10,0.9180063192545913,1.546493687978746,True,compact,4,325.3971311454018,71.30350624140166,TYC 4470-01875-1,unclassified_object
274,920.9314930833655,265.06998931040266,1010.6682786763834,127.92688183121865,22.26342020375264,14,1.2783902713633277,2.158474463266848,True,compact,4,66.12701628574085,34.07688787177343,TYC 2380-02428-1,unclassified_object
275,991.7045319402314,888.2441000188592,1008.9022857224377,200.12035235746654,24.274325793390112,9,0.8156212946761411,1.345315752315062,True,compact,4,311.3386004213116,61.835968019912585,TYC 4246-01967-1,unclassified_object
276,671.5036680674573,595.5142708984177,1008.7511742184807,202.96873507679717,29.065038208212403,10,0.7467696737334745,1.213636742616013,True,compact,4,9.621991497647333,29.32083155693035,TYC 1744-02936-1,unclassified_object
277,1035.0543242473266,129.35668158699866,1008.5717412092223,129.58689969485982,19.70910332383819,18,1.08322263163365,1.1528694054101793,True,compact,4,89.50712613648994,25.94395485369833,TYC 1867-03204-1,unclassified_object
279,685.3684796274163,596.4863990217787,1006.2781954026963,204.26281676484706,29.38531459467342,8,0.6782804160664495,1.0826596866355753,True,compact,4,9.796740440955215,30.889189201710376,TYC 2275-01753-1,unclassified_object
280,737.7670359201096,815.1853830232128,1005.8412740868531,167.6082042096674,20.617195615647795,11,1.1740786100389689,1.9644000418879746,True,compact,4,339.9404532359093,37.49731321386408,TYC 3201-01589-1,unclassified_object
281,258.2605426817043,613.1269309034818,1003.9339948321451,204.34519615857744,34.00469274329721,8,0.7651415718270873,1.198560650612023,True,compact,4,3.6551350401441307,-18.914796708375725,TYC 5842-01163-1,unclassified_object
282,1037.9688286148419,903.7265054970293,1002.0179672873404,188.84460088375516,24.711060440010073,8,0.9947369952648042,2.040691359732669,True,compact,4,300.4078667296732,64.7675282847184,TYC 4240-00471-1,unclassified_object
283,1026.4503531425894,1138.382341491847,999.4917740956998,187.77038684854313,26.62581133126784,12,1.0224205464048062,1.5875058052479096,True,compact,4,271.8918314658225,43.464384761836264,TYC 3114-01637-1,unclassified_object
284,963.7869520789542,1185.772253978554,998.1758529345659,196.435153908169,32.18405643314079,9,0.7284186175787907,1.0585438471618964,True,compact,4,274.9751416703648,36.06090978439843,TYC 2635-01483-1,unclassified_object
285,781.8598290116231,714.1637536553051,996.6477626547077,206.89500158936906,24.448741550803195,10,0.9035079409776702,1.3732549043361315,True,compact,4,354.53478223012996,43.21897132512038,TYC 3243-01412-1,unclassified_object
286,602.4803440424934,1092.2402461023776,991.5050733568498,171.48744434761272,19.115909067510895,14,1.503131385360126,2.1472110237109696,True,compact,4,309.7395621585073,13.288597344595138,TYC 1100-01721-1,unclassified_object
287,1021.1995799965662,284.2543255213685,990.1722715203879,175.92864047793478,22.694646356433175,10,0.8364739637380635,1.2802401177812093,True,compact,4,75.62460548648893,41.0695236021551,TYC 2899-02236-1,unclassified_object
288,920.9124603974905,1229.1520687494897,988.6894541070142,131.58394902798477,18.37374226743625,13,1.3198695624185777,2.1758514591389044,True,compact,4,275.14974697455466,29.80054145958166,TYC 2105-02583-1,unclassified_object
289,1007.7188757862746,123.88176862669258,986.1497124638247,148.14992381997556,23.615294168063322,15,1.0320747244279276,1.220086546812098,True,compact,4,87.19206240152518,24.593342317567682,TYC 1866-02598-1,unclassified_object
290,418.08732055160164,732.5575298818809,985.6034955870715,190.62215977896898,32.038878837592684,10,0.821489576897855,1.2789492069628274,True,compact,4,351.7666253654672,1.201208755570512,TYC 0578-01415-1,unclassified_object
291,968.7277196623093,497.2862163271798,985.3059633156136,180.69950600393534,22.020718661387747,8,0.7215289931360331,1.0978963658217775,True,compact,4,42.66513618016798,55.87548973528297,TYC 3704-01332-1,unclassified_object
292,345.0195868013044,784.4263449837438,983.118378950498,166.30276898117253,25.517919990470443,13,1.2722099614862006,1.9865961912026133,True,compact,4,346.32826152644395,-7.761124980134137,TYC 5820-00107-1,unclassified_object
293,628.8939034714782,430.3114622027095,982.5213842953008,190.79684304783564,29.964417207973867,8,0.7592082426265592,1.1835925692809177,True,compact,4,28.392332228470487,19.278182330660425,TYC 1209-01835-1,unclassified_object
294,414.3955236324212,854.7136367648304,981.8319496999968,200.61608177830598,30.82068087798197,9,0.7867684717035358,1.2671787904929175,True,compact,4,338.8581206331653,-0.1606988540344931,TYC 5233-02298-1,unclassified_object
295,1130.9386411870598,301.9913287337666,979.492039133234,176.78654330358503,25.144662135117915,12,1.3733684777906363,2.2488057644054322,True,broad_blob,8,89.92663069823259,45.881834813056216,TYC 3361-01787-1,unclassified_object
296,237.2607472054457,714.2386400925599,977.9332774613096,168.0683159461862,35.03044802411897,10,0.7978805582010139,1.1590031383590436,True,compact,4,353.3165218847401,-20.886501275456396,TYC 6409-01232-1,unclassified_object
297,829.6898378702327,1037.6978409204912,976.1072965408777,167.94194875642236,15.522103665525405,12,1.4500155062783306,2.3014358363245786,True,broad_blob,8,304.529787230476,38.100487706413475,TYC 3151-03442-1,unclassified_object
298,269.0293808009314,640.1775912457357,974.9928342962062,202.83325333574766,36.12815633101014,10,0.7932513191042941,1.1362306014968278,True,compact,4,0.9263670846189727,-17.314445668568425,TYC 5838-01288-1,unclassified_object
299,356.55764804435546,901.4636537815757,973.7628048739344,191.7217121910531,30.697682455711654,10,0.7004377784811917,1.0301819833902923,True,compact,4,334.20924181935055,-7.786893740868303,TYC 5803-01996-1,unclassified_object
300,573.9003476215381,131.56996386808729,971.6082959619355,189.2247130183498,37.3601645440915,8,0.8562235605947424,1.5665084190028535,True,compact,4,58.53874524185309,-2.920334940373889,TYC 4721-01217-1,unclassified_object
301,607.668819491988,736.7065590842644,971.2151989877507,202.0837424473851,26.250412620316574,9,0.7229718761296674,1.1069877838948505,True,compact,4,351.3485704202544,23.417417014524993,TYC 2237-01660-1,unclassified_object
302,905.2018292657382,414.25038685419156,969.6674867497379,187.659986525721,23.81647064354664,10,0.7862327336283923,1.1772218840512907,True,compact,4,47.410702065450415,44.84261526589601,TYC 2859-02274-1,unclassified_object
303,743.5548485885245,1136.5594339803038,969.652260368147,159.12072879984152,16.857558252763155,14,1.5289882665597854,2.4749073319775063,True,broad_blob,8,298.4636852442381,24.165548207292257,TYC 2140-03051-1,unclassified_object
304,434.68732239571574,1107.6280187573368,969.0960377830909,196.77911746287444,31.840890125263442,9,0.7248913829716315,1.1370066236710146,True,compact,4,311.9429536273836,-5.0205171618463105,TYC 5186-02125-1,unclassified_object
305,433.8487686594496,286.9054338949207,968.9974705054155,123.9468774032307,28.64849264574837,17,1.7150917865599722,2.4219606508610134,False,broad_blob,8,38.8337614920301,-7.806198419351775,TYC 5285-00952-1,unclassified_object
306,1094.071590829835,751.2362481250847,967.0173008899792,192.91661840273977,27.0955088961138,13,1.0011564695874908,1.3859388365781649,True,compact,4,337.1506918090898,78.81551876290695,TYC 4608-02417-1,unclassified_object
307,469.58599008605387,920.3180137139113,966.2071398856165,199.34829510402068,30.121322478871534,10,0.8857151848748792,1.4119428413183868,True,compact,4,331.43536608998414,5.038308009727366,TYC 0564-02591-1,unclassified_object
308,984.755161332669,304.4326674010019,966.0720084119786,187.15672836877715,27.238202594790884,8,0.7508010299680559,1.2379044799383407,True,compact,4,69.17933551992898,41.24517954990009,TYC 2888-02054-1,unclassified_object
309,1224.6757043949192,828.8700782966455,964.5151166278183,206.1248835504951,32.99750906414783,8,0.7618273760449397,1.3094986779490747,True,compact,4,235.93952922330243,77.792968155719,TYC 4563-02708-1,unclassified_object
310,1181.4282264995702,1113.7303834111256,963.6728089192362,189.18611918582974,30.09775400935858,9,0.7002453937754857,1.0106830674540837,True,compact,4,249.70179976309998,48.93211522654376,TYC 3502-02258-1,unclassified_object
311,756.1040580408927,1053.9374851030477,962.1076494293579,176.9769406609428,20.49393287223528,10,0.8498692553028478,1.2950040328831873,True,compact,4,307.35018225701185,30.36427704554996,TYC 2685-01920-1,unclassified_object
312,939.698941945807,845.6528536123335,960.9835772119229,195.6685063855936,20.775200492440046,9,0.7754657815590785,1.2970580074914946,True,compact,4,325.94988080055623,58.752114659464986,TYC 3979-01616-1,unclassified_object
313,987.2213871987756,1298.615654253035,959.3119608406249,155.9175025613469,28.933220515898952,9,0.7832448076755697,1.118764752838826,True,compact,4,262.69618175727135,26.124217410750138,TYC 2079-02057-1,unclassified_object
314,1264.3512843673986,820.856709027989,958.8404904923061,203.06320268677638,38.06178853959423,8,0.7292791798368193,1.1669690651263238,True,compact,4,216.86240820278294,75.69479954937451,TYC 4559-03017-1,unclassified_object
315,851.7682934848948,808.7693465072086,958.6505272335633,182.77249512088645,19.342592989173504,10,0.9429810240698635,1.453374178171195,True,compact,4,337.9367314094043,50.27006882477839,TYC 3628-03193-1,unclassified_object
316,547.3627624554773,1035.2455123893071,957.7089445301058,198.27111253515298,29.637757259264134,9,0.7449373749138443,1.1535025953430869,True,compact,4,317.5771703506797,10.079354913444776,TYC 1108-02583-1,unclassified_object
318,1025.0525931065758,784.9812855162395,953.1274193930232,148.1934892524109,17.88675488865928,17,1.6294843516772108,1.9080232529674612,False,broad_blob,8,332.79246802044787,70.0920218770605,TYC 4467-02426-1,unclassified_object
319,863.1181343363412,1071.8440392318403,951.9961266698667,174.39593790346973,17.88776245883913,10,1.2101321727342218,2.3190676841078117,True,compact,4,297.5250601862319,38.704665657199065,TYC 3137-03764-1,unclassified_object
320,1198.2136745378891,524.0867433329222,951.6639706538742,180.387866016438,33.03644586179504,11,1.1454640967913776,1.8123829201947963,True,compact,4,94.76007218188339,69.37239024421665,TYC 4345-02051-1,unclassified_object
321,1112.5873883287315,447.10527862952875,949.8416345035463,208.5305275814083,29.11325854039588,7,0.71888969053482,1.282049365238,True,compact,4,75.882960236954,60.43093915009154,TYC 4079-02478-1,unclassified_object
322,1402.312894081598,469.3636647563648,949.4618160111586,136.42007121536932,31.195268389935936,12,0.9123938064448225,1.268981613793311,True,compact,4,137.25775249530898,51.57082515607663,TYC 3430-01673-1,unclassified_object
323,960.7094380634815,661.671504885487,947.2838120046357,173.69550284814397,19.554586706888745,10,1.0115403030943417,1.6070268437412512,True,compact,4,8.349118825869285,62.88817731625188,TYC 4019-03949-1,unclassified_object
324,225.49140732248037,771.1461448742805,947.1754608854509,181.90054294390015,33.650289829323775,8,0.7144346541529814,1.0775921910742414,True,compact,4,347.48761379966953,-22.41812960682542,TYC 6401-01356-1,unclassified_object
325,1040.8853400838448,1052.4073484683493,946.8998875002355,177.05252957682117,25.31819043092368,10,1.4489144307105113,2.6642352096191035,True,compact,4,278.32945656962943,52.28299794084002,TYC 3539-02620-1,unclassified_object
